Rank,Title,Title_English,Title_Japanese,Type,Episodes,Start_Date,Studios,Genres,Composite_Score,Confidence,Total_Votes,Website_Count,ANILIST_Score,ANILIST_Votes,BANGUMI_Score,BANGUMI_Votes,DOUBAN_Score,DOUBAN_Votes,FILMARKS_Score,FILMARKS_Votes,IMDB_Score,IMDB_Votes,MAL_Score,MAL_Votes
49,Koujo Denka no Kateikyoushi,Private Tutor to the Duke's Daughter,公女殿下の家庭教師,TV,12,2025-07-06,Studio Blanc.,Fantasy,-0.710261,0.534582,7062,5,6.2,1219,5.8,588,,,5.8,118,6.6,132,6.54,5005
50,Turkey!,Turkey! Time to Strike,Turkey!,TV,12,2025-07-09,Bakken Record,"Historical, Sports, Time Travel",-0.765072,0.395532,3628,5,5.8,648,5.5,886,,,7.6,213,6.2,35,6.15,1881
51,Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen,CARDFIGHT!! VANGUARD Divinez DELUXE Finals,カードファイト!! ヴァンガード Divinez デラックス決勝編,TV,,2025-07-05,"Kinema Citrus, GIFTanimation, Studio Jemi","Action, Strategy Game",-0.766416,0.056029,103,3,,,,,,,2.0,3,5.9,19,6.53,103
52,Tsuyokute New Saga,New Saga,強くてニューサーガ,TV,12,2025-07-03,"ABC Animation, Sotsu, Studio Massket, Studio Clutch, AlphaPolis, ANICI, Sotsu, Bandai Namco Music Live, Bushiroad, Pia, KLOCKWORX, TOKYO MX, Exa International, Toei Video","Adventure, Fantasy",-0.788888,0.537913,7463,5,6.3,1277,5.4,205,,,5.4,102,6.4,198,6.67,5681
53,Futari Solo Camp,Solo Camping for Two,ふたりソロキャンプ,TV,24,2025-07-11,"SynergySP, Pony Canyon, Kodansha, Crunchyroll, BS Asahi",Slice of Life,-0.789615,0.502695,4162,5,6.1,852,5.5,207,,,6.2,149,6.3,51,6.53,2903
54,Busu ni Hanataba wo.,April Showers Bring May Flowers,ブスに花束を。,TV,13,2025-07-04,"SILVER LINK., Mainichi Broadcasting System, VAP, Marvelous, SILVER LINK., BS Nittele, TOKYO MX","Comedy, Romance",-0.813268,0.494614,3640,6,6.3,602,5.2,199,5.9,211,6.6,231,7.2,36,6.73,2397
55,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,TV,12,2025-07-02,"Studio Gokumi, AXsiZ, Nippon Television Network, Yomiuri TV Enterprise, ANICI, Docomo Anime Store, VAP, Nittele Wands, BS Nittele","Adventure, Comedy, Fantasy",-0.822578,0.528918,6429,5,6.2,993,5.0,145,,,6.6,119,6.2,1076,6.53,4096
56,Hotel Inhumans,Hotel Inhumans,ホテル・インヒューマンズ,TV,13,2025-07-06,Bridge,"Action, Drama, Organized Crime",-0.842837,0.483752,3040,5,6.0,561,5.3,181,,,6.0,184,6.8,65,6.5,2049
57,Koisuru One Piece Zenyasai Tokubetsu-hen,One Piece in Love Festival Eve Special,恋するワンピース前夜祭特別編,ONA,1,2025-08-09,Toei Animation,"Comedy, Parody, Romance, Shounen",-0.844515,0.261128,1359,3,5.7,117,,,,,7.0,951,,,6.23,291
58,"Kanojo, Okarishimasu 4th Season",Rent-a-Girlfriend Season 4,彼女、お借りします 第4期,TV,12,2025-07-05,TMS Entertainment,"Adult Cast, Comedy, Harem, Romance, Shounen",-0.90896,0.596768,19802,5,6.0,1610,3.5,293,,,8.4,249,6.8,10576,6.16,7074
59,Binan Koukou Chikyuu Bouei-bu Haikara!,Cute High Earth Defense Club Hi-CARA!,美男高校地球防衛部ハイカラ！,TV,12,2025-07-07,Studio Deen,"Comedy, Fantasy, Historical, Parody, School, Super Power",-0.918606,0.141543,352,4,,,5.2,14,,,6.6,42,7.1,150,6.02,202
60,Busamen Gachi Fighter,"Uglymug, Epicfighter",ブサメンガチファイター,TV,12,2025-07-06,"WHITE FOX, Nippon Columbia, bilibili, VAP, KLOCKWORX, EGG FIRM","Adventure, Fantasy",-0.967878,0.63856,6781,6,6.1,976,5.6,520,5.7,260,6.2,143,6.4,123,6.39,4759
61,Nyaight of the Living Cat,Nyaight of the Living Cat,ニャイト・オブ・ザ・リビングキャット,TV,12,2025-07-08,OLM,"Action, Horror, Shounen, Survival, Suspense",-1.030744,0.605696,4306,6,6.0,659,5.0,236,6.0,218,6.6,230,6.4,158,6.26,2805
62,"Yuusha Party wo Tsuihou Sareta Shiro Madoushi, S Rank Boukensha ni Hirowareru: Kono Shiro Madoushi ga Kikakugaisugiru",Scooped Up by an S-Rank Adventurer!,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,ONA,,2025-07-06,"Felix Film, Yomiuri TV Enterprise, Futabasha, Happinet Media Marketing, Docomo Anime Store, Bandai Namco Music Live, JIN, BS Fuji, Jinnan Studio, Ray","Action, Adventure, Fantasy",-1.079124,0.542539,8058,5,6.1,1323,4.5,253,,,6.0,166,6.1,128,6.36,6188
63,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,渡くんの××が崩壊寸前,TV,13,2025-07-05,Staple Entertainment,"Comedy, Drama, Romance, School, Seinen",-1.230741,0.531588,6720,5,5.9,1192,4.7,273,,,5.2,62,5.8,151,6.34,5042
64,9: Ruler's Crown,,9-nine- Ruler's Crown,TV,13,2025-07-05,PRA,"Mystery, Romance, School, Super Power",-1.298043,0.361911,1807,5,5.3,284,4.8,545,,,7.0,99,6.8,21,5.8,879
65,Kizu darake Seijo yori Houfuku wo Komete,"With Vengeance, Sincerely, Your Broken Saintess",傷だらけ聖女より報復をこめて,TV,,2025-07-10,"Imagica Infos, Imageworks Studio","Fantasy, Romance",-1.556495,0.364179,1894,5,5.4,243,4.0,71,,,6.2,73,3.6,5,5.83,1507
